Author:text,cleanTitle:text,Co_Author:text,f10,Institution:text,isJointPaper:text,label:text,type:text,uri:url,change:text,changedItem:text,modified:text,,Year:text,,
"Altman, Morris","Land Tenure, Ethnicity and the State of Agricultural Income and Productivity in Mid-Nineteenth Century Quebec.",,,University of Saskatchewan,,Altman1994,Item,http://127.0.0.1/Altman1994,,,no,,1994,,
"Altman, Morris",New Estimates of Hours of Work and Real Income in Canada from the 1880s to 1930: Workers Income - Leisure Choice in a Dynamic Economy.,,,University of Saskatchewan,,Altman1997,Item,http://127.0.0.1/Altman1997,,,no,,1997,,
"Altman, Morris",Staple Theory and Export-Led Growth: Constructing Differential Growth.,,,,,Altman1999,Item,http://127.0.0.1/Altman1999,,,no,,1999,,
"Anderson, Isabel",The Buckley Research Files,,,University of Saskatchewan,,Anderson1972,Item,http://127.0.0.1/Anderson1972,,,no,,1972,,
"Anderson, Isabel",Manufacturing and Urbanization After 1890,,,University of Saskatchewan,,Anderson1973,Item,http://127.0.0.1/Anderson1973,,,no,,1973,,
"Anderson, Isabel",Growth of Manufacturing in Urban Areas,,,University of Saskatchewan,,Anderson1976,Item,http://127.0.0.1/Anderson1976,,,no,,1976,,
"Anderson, Isabel",The Development of Manufacturing in Urban Areas in Central and Western Canada During Depression and War,,,University of Saskatchewan,,Anderson1985,Item,http://127.0.0.1/Anderson1985,,,no,,1985,,
"Anderson, Isabel","Measuring Structural Change With Incomplete Historical Data, The Case of Canadian Manufacturing",,,University of Saskatchewan,,Anderson1987,Item,http://127.0.0.1/Anderson1987,,,no,,1987,,
"Ankli, Robert",Canadian - American Reciprocity,,,University of Guelph,,Ankli1970,Item,http://127.0.0.1/Ankli1970,,,no,,1970,,
"Ankli, Robert",The Canadian Depression in a Long-Swing Framework,,,University of Guelph,,Ankli1972,Item,http://127.0.0.1/Ankli1972,,,no,,1972,,
"Ankli, Robert","The Buckley GNP Estimates, 1900-1925",,,University of Guelph,,Ankli1973,Item,http://127.0.0.1/Ankli1973,,,no,,1973,,
"Ankli, Robert",The Growth of the Canadian Economy 1900-1920:  Neo-Classical vs Export-Led Growth?,,,University of Guelph,,Ankli1975,Item,http://127.0.0.1/Ankli1975,,,no,,1975,,
"Ankli, Robert",The Adoption of the Gasoline Tractor in Western Canada,,,University of Guelph,,Ankli1978,Item,http://127.0.0.1/Bertram1973,,,no,,1978,,
"Ankli, Robert",Farm Costs in Early Ontario,,,University of Guelph,,Ankli1981,Item,http://127.0.0.1/Ankli1981,,,no,,1981,,
"Ankli, Robert",Banking in the Early Twentieth Century: The Home Bank's Balance Sheet in 1913,,,University of Guelph,,Ankli1982,Item,http://127.0.0.1/Ankli1982,,,no,,1982,,
"Antonie, Luiza","New Historical Samples and Linked Census Data for Canada, 1851-1911",,,University of Guelph,,AntonieA2014,Item,,,,,,2014,,
"Arcand, Jean-Louis",Disequilibrium Dynamics and the Great Depression in Canada.,,,MIT,,Arcand1990,Item,http://127.0.0.1/Arcand1990,,,no,,1990,,
"Armstrong, Alexander",The Characteristics of European Immigrants to Canada in the 1920s: A Cross-Country Comparison,,,Queen's University,,ArmstrongA2011,Item,http://127.0.0.1/ArmstrongA2011,,,no,,2011,,
"At-Amour, P.",The Volatility of Wheat Prices in 19th Century France.,,,Queen's University,,At1992,Item,http://127.0.0.1/At1992,,,no,,1992,,
"Austin, Gareth","The Future of African Economic History, and Africa in the Future of Economic History as a Discipline",,,London School of Economics,,Austin2003,Item,http://127.0.0.1/Austin2003,,,no,,2003,,
"Badia-Miro, Marc","The Missing Intra-regional Trade of the Southern Cone, 1913-1950",,,University of Barcelona,,BadiaMiroA2014,Item,,,,,,2014,,
"Baker, Richard",Finding the Fat: The Relative Impact of Budget Fluctuation in African-American Schools,,,Boston University,,BakerA2014,Item,,,,,,2014,,
"Baldwin, J.",Evolution of Canadian Manufacturing: Industry Productivity in Canada and the U.S.,,,Queen's University,,Baldwin1984,Item,http://127.0.0.1/Baldwin1984,,,no,,1984,,
"Baldwin, J.",Industrial Growth in Canada,,,Queen's University,,Baldwin1987,Item,http://127.0.0.1/Baldwin1987,,,no,,1987,,
"Bamber, Sue","Property Ownership by Married Women in Guelph, 1871-91 (Research Report).",,,University of Guelph,,Bamber1997,Item,http://127.0.0.1/Bamber1997,,,no,,1997,,
"Barnett, R. F. J.","Canada's Manufacturing Development and Foreign Trade, 1870 - 1915.",,,Queen's University,,Barnett1967,Item,http://127.0.0.1/Barnett1967,,,no,,1967,,
"Baskerville, Peter",Unemployment in Late 19th Century Canada,,,University of Victoria,,Baskerville1992,Item,http://127.0.0.1/Baskerville1992,,,no,,1992,,
"Baskerville, Peter",Gendered Investors: Land and Mortgage Companies in Urban Canada 1881-1901.,,,University of Victoria,,Baskerville1997,Item,http://127.0.0.1/Baskerville1997,,,no,,1997,,
"Beal, Carl",Canadian Reserve Economic Development in Saskatchewan: 1900-1930s.,,,"Saskatchewan Indian Federated College, University of Regina",,Beal1997,Item,http://127.0.0.1/Beal1997,,,no,,1997,,
"Bean, Jessica","Not Much Use Disliking It: Labor Supply among Female Home Workers in London, 1897-1908",,,Denison College,,Bean2011,Item,http://127.0.0.1/Bean2011,,,no,,2011,,
"Beasdale, Ruth",Starting a Local Railway: A Cost-Benefit Analysis.,,,Dalhousie University,,Beasdale1997,Item,http://127.0.0.1/Beasdale1997,,,no,,1997,,
"Beaulieu, Eugene",The Role of Reciprocity in the 1911 General Election.,,,,,Beaulieu1999,Item,http://127.0.0.1/Beaulieu1999,,,no,,1999,,
"Beaulieu, Eugene",The Political Economy of Canadian Trade Policy from 1881 to 1930,,,University of Calgary,,Beaulieu2003,Item,http://127.0.0.1/Beaulieu2003,,,no,,2003,,
"Beaulieu, Eugene",The Magnitude and Cost of Canadian Protectionism: 1870-1910,,,University of Calgary,,BeaulieuA2011,Item,http://127.0.0.1/BeaulieuA2011,,,no,,2011,,
"Bekar, Cliff",Distributional Dynamics in a Stochastic Environment with Tradable Assets: Medieval English Land Markets,,,Lewis and Clark University,,Bekar2008,Item,http://127.0.0.1/Bordo2000,,,no,,2008,,
"Beltrán, Francisco","Commons and the Standard of Living Debate in Spain, 1860-1930",,,Oxford University,,BeltranA2012,Item,,,,no,,2012,,
"Berkes, F.",Indigenous Land Use and Harvesting Among the Cree in Western James Bay: A Historical and Contemporary Analysis.,,,Council of Ontario Universities,,Berkes1992,Item,http://127.0.0.1/Berkes1992,,,no,,1992,,
"Bertram, Gordon","The Contribution of Education to Economic Growth, 1911 - 1961: Canada and the United States",,,University of Victoria,,Bertram1965,Item,http://127.0.0.1/Bertram1965,,,no,,1965,,
"Bertram, Gordon",The Staple Theory of Economic Growth: A Critique of the Chambers - Gordon Paper.,,,University of Victoria,,Bertram1970,Item,http://127.0.0.1/Bertram1970,,,no,,1970,,
"Bertram, Gordon",The Relevance of the Wheat Boom in Canadian Economic Growth,,,University of Victoria,,Bertram1972,Item,http://127.0.0.1/Bertram1972,,,no,,1972,,
"Bertram, Gordon","Real Wages in Canada, 1870 - 1926",,,University of Victoria,,Bertram1973,Item,http://127.0.0.1/Bertram1973,,,no,,1973,,
"Betrán, Concepción",International Competition in the First Wave of Globalisation: New Evidence on the Margins of Trade,,,University of Valencia,,BetranA2014,Item,,,,,,2014,,
"Betrán, Concepción",Comparing Past and Present Wage Inequality in Two Globalization Periods,,,University of Valencia,,BetranA2011,Item,http://127.0.0.1/BetranA2011,,,no,,2011,,
"Bitterman, Rusty",The Use of a Production - Consumption Approach for Rural Microanalysis: A Nineteenth Century Cape Breton Example,,,University of New Brunswick,,Bitterman1987,Item,http://127.0.0.1/Bitterman1987,,,no,,1987,,
"Blain, Larry",Regional and National Fluctuations in Canada Since 1919,,,University of British Columbia,,Blain1975,Item,http://127.0.0.1/Blain1975,,,no,,1975,,
"Blocker, Jack","African-American Migration and Urbanization in the Lower Midwest, 1860-1930: Many Questions and a Few Answers.",,,University of Western Ontario,,Blocker1997,Item,http://127.0.0.1/Blocker1997,,,no,,1997,,
"Bloomfield, Elizabeth","Industry in Canadian Urban Centres, 1870: Accessing and Analyzing the Manuscript Schedules of the 1871 Census of Canada",,,University of Guelph,,Bloomfield1987,Item,http://127.0.0.1/Bloomfield1987,,,no,,1987,,
"Bond, David","The Merger Movement in Canadian Banking, 1900 - 1920.",,,University of British Columbia,,Bond1970,Item,http://127.0.0.1/Bond1970,,,no,,1970,,
"Bordo, Michael",The Long-Run Behaviour of the Income Velocity of Circulation: A Cross-Nation Comparison,,,Carleton University,,Bordo1978,Item,http://127.0.0.1/Bertram1973,,,no,,1978,,
"Bordo, Michael","Financial Crises and Banking Panics, 1870-1933: Some Comparative Evidence",,,University of South Carolina,,Bordo1984,Item,http://127.0.0.1/Bordo1984,,,no,,1984,,
"Bordo, Michael",Why was the Bank of Canada formed in 1935?,,,University of South Carolina,,Bordo1985,Item,http://127.0.0.1/Bordo1985,,,no,,1985,,
"Bordo, Michael",Domestic versus International Sources of the Great Depression in Canada.,,,Rutgers University,,Bordo1992,Item,http://127.0.0.1/Bordo1992,,,no,,1992,,
"Bordo, Michael",A Comparison of the United States and Canadian Banking Systems in the Twentieth Century.: Stability versus Efficiency?,,,Rutgers University,,Bordo1994,Item,http://127.0.0.1/Bordo1994,,,no,,1994,,
"Bordo, Michael",Optimal Debt Finance and th Central Bank.,,,Rutgers University,,Bordo1995,Item,http://127.0.0.1/Bordo1995,,,no,,1995,,
"Bordo, Michael",The Legacy of French and English Fiscal and Monetary Institutions for Canada.,,,Rutgers University,,Bordo1997,Item,http://127.0.0.1/Bordo1997,,,no,,1997,,
"Bordo, Michael",Historical Perspectives on Canadian Monetary and Banking Policy.,,,Rutgers University,,Bordo1999,Item,http://127.0.0.1/Bordo1999,,,no,,1999,,
"Bordo, Michael",Globalization of Financial Markets and Financial Crises: The Lessons from History.,,,Rutgers University,,Bordo2000,Item,http://127.0.0.1/Bordo2000,,,no,,2000,,
"Bordo, Michael",Is Deflation Depressing?: Evidence from the Classical Gold Standard.,,,Rutgers University,,Bordo2002,Item,http://127.0.0.1/Bordo2002,,,no,,2002,,
"Bordo, Michael",The Role of Gold in the Deflation of the Late 19th Century,,,Rutgers University,,Bordo2005,Item,http://127.0.0.1/Bordo2005,,,no,,2005,,
"Bordo, Michael",Canada and the IMF: Trailblazer or Prodigal Son?,,,Rutgers University,,Bordo2008,Item,http://127.0.0.1/Bordo2000,,,no,,2008,,
"Bordo, Michael","Why Didn't Canada Have a Banking Crisis in 2008 (or in 1930, or 1907, or 1893)?",,,Rutgers University,,BordoA2011,Item,http://127.0.0.1/BordoA2011,,,no,,2011,,
"Bordo, Michael",The Federal Reserve as Lender of Last Resort in the Great Depression and the Great Contraction,,,Rutgers University,,BordoA2014,Item,,,,,,2014,,
"Borins, Sanford","Western Settlement, 1870-1920",,,Government of Canada,,Borins1975,Item,http://127.0.0.1/Borins1975,,,no,,1975,,
"Borins, Sanford",Dominion Land Policy and the Settlement of Western Canada,,,Carleton University,,Borins1976,Item,http://127.0.0.1/Borins1976,,,no,,1976,,
"Bórtola, Luis","The Economic History of the Southern Cone (Argentina, Brazil, Uruguay): Recent Trends and Prospects",,,"Universidad de la Republica, Uruguay",,Bórtola2003,Item,http://127.0.0.1/B%C3%83%C2%A9rtola2003,,,no,,2003,,
"Botticini, Maristella",A Loveless Economy? Intergenerational Altruism and the Dowry Sytstem: Cortona ca. 1415-36.,,,Northwestern University,,Botticini1997,Item,http://127.0.0.1/Botticini1997,,,no,,1997,,
"Boustan, Leah Platt ",Competition in the Promised Land: Black Migrants in Northern Cities and Labor Markets,,,University of California Los Angeles,,BoustanA2014,Item,,,,,,2014,,
"Boyer, George","Work for their Prime, and Workhouse for their Age: A Regional Analysis of Elderly Pauperism in Victorian Britain",,,Cornell University,,BoyerA2011,Item,http://127.0.0.1/BoyerA2011,,,no,,2011,,
"Braggion, Fabio",Mergers and Acquisitions in British Banking: Forty Years of Evidence from 1885 to 1925,,,Tilburg University,,Braggion2009,Item,http://127.0.0.1/Braggion2009,,,no,,2009,,
"Braggion, Fabio",The Economic Benefit of Political Connections in Late Victorian Britain,,,University of Tillburg,,BraggionA2011,Item,http://127.0.0.1/BraggionA2011,,,no,,2011,,
"Brezis, Elise",Disequilibrium Dynamics and the Great Depression in Canada.,,,Brandeis University,,Brezis1990,Item,http://127.0.0.1/Brezis1990,,,no,,1990,,
"Brown, John C.",The Fertility Transition in Munich: First Results.,,,Clark University,,Brown2002,Item,http://127.0.0.1/Brown2002,,,no,,2002,,
"Buckley, K. W.",On the Estimation of National Income in Canada Prior to 1900.,,,,,Buckley1965,Item,http://127.0.0.1/Buckley1965,,,no,,1965,,
"Buckley, K. W.",Economic Growth Since Confederation: A Progress Report.,,,University of Saskatchewan,,Buckley1968,Item,http://127.0.0.1/Buckley1968,,,no,,1968,,
"Cadigan, Sean","Whose Economy? Nature, Polity and Morality in the History of Fishing and Forestry in Newfoundland.",,,,,Cadigan1999,Item,http://127.0.0.1/Cadigan1999,,,no,,1999,,
"Cain, Louis P.",From Mud to Metropolis,,,Loyola University of Chicago,,Cain1984,Item,http://127.0.0.1/Cain1984,,,no,,1984,,
"Cain, Louis P.",The Canadian Subsidiary of Thomas and Betts,,,Loyola University of Chicago,,Cain1987,Item,http://127.0.0.1/Cain1987,,,no,,1987,,
"Cain, Louis P.",Urbanization and Sanitization in the Progressive Era.,,,Northwestern University,,Cain1992,Item,http://127.0.0.1/Cain1992,,,no,,1992,,
"Cain, Louis P.",Death and Spending: Did Mortality Shocks Lead to Municipal Expenditure Increases?,,,Loyola University of Chicago,,Cain1995,Item,http://127.0.0.1/Cain1995,,,no,,1995,,
"Cain, Louis P.","Economics, Politics and the Endangered Species Act.",,,Loyola University of Chicago,,Cain1997,Item,http://127.0.0.1/Cain1997,,,no,,1997,,
"Cain, Louis P.","Similar Economies, Similar Histories, Different Structures: Transatlantic",,,Loyola University of Chicago and Northwestern University,,Cain2005,Item,http://127.0.0.1/Cain2005,,,no,,2005,,
"Cain, Louis P.","Survival in 19th Century Cities: The Larger the City, the Smaller Your Chances",,,Loyola University of Chicago,,Cain2008,Item,http://127.0.0.1/Bordo2000,,,no,,2008,,
"Callahan, C.",Retaliation: The Canadian Response to the Smoot-Hawley Tariff.,,,Lehigh University,,Callahan1992,Item,http://127.0.0.1/Callahan1992,,,no,,1992,,
"Campbell, Gail",Starting a Local Railway: A Cost-Benefit Analysis.,,,University of New Brunswick,,Campbell1997,Item,http://127.0.0.1/Campbell1997,,,no,,1997,,
"Carlos, Ann",The Impact of the Napoleonic Wars on the Hudson's Bay Company,,,University of Western Ontario,,Carlos1979,Item,http://127.0.0.1/Carlos1979,,,no,,1979,,
"Carlos, Ann",Subsidies for Railway Building: An Analysis Based on the Theory of Public Intermediate Inputs,,,University of Western Ontario,,Carlos1982,Item,http://127.0.0.1/Carlos1982,,,no,,1982,,
"Carlos, Ann","Subsidies to Railroad Building: Allocative Issues Involving Increasing Returns to Scale, Monopoloy Pricing and the Pattern of Land Use",,,University of Western Ontario,,Carlos1984,Item,http://127.0.0.1/Carlos1984,,,no,,1984,,
"Carlos, Ann",The Economic Basis of Toronto and Hamilton: Early Urban Development in the 19th Century,,,University of Western Ontario,,Carlos1985,Item,http://127.0.0.1/Carlos1985,,,no,,1985,,
"Carlos, Ann",Managing to Manager:  The Hudson's Bay Company and the Economics of Agency,,,University of Western Ontario,,Carlos1989,Item,http://127.0.0.1/Carlos1989,,,no,,1989,,
"Carlos, Ann","Depletion in the Lands of the Hudson's Bay Company, 1700-1770",,,University of Colorado,,Carlos1990,Item,http://127.0.0.1/Carlos1990,,,no,,1990,,
"Carlos, Ann","The Creative Financing of an Unprofitable Enterprise: the Grand Trunk Railway of Canada, 1853-1920.",,,University of Colorado,,Carlos1992,Item,http://127.0.0.1/Carlos1992,,,no,,1992,,
"Carlos, Ann","Strategic Pricing in the Fur Trade: The Hudson's Bay Company, 1700-1763.",,,University of Colorado,,Carlos1994,Item,http://127.0.0.1/Carlos1994,,,no,,1994,,
"Carlos, Ann",International Financing of Canadian Railroads: The Role of Information.,,,University of Colorado,,Carlos1995,Item,http://127.0.0.1/Carlos1995,,,no,,1995,,
"Carlos, Ann",Indians and the Hudson's Bay Company Trade: Work Effort and the Consumption of European Commodities 1700-1770.,,,,,Carlos1999,Item,http://127.0.0.1/Carlos1999,,,no,,1999,,
"Carlos, Ann",Nutrition and the Standard of Living of Native Americans and Europeans in the,,,University of Colorado,,Carlos2005,Item,http://127.0.0.1/Carlos2005,,,no,,2005,,
"Carlos, Ann",The Development of Bankruptcy and Creditors' Rights in Early Modern England,,,University of Colorado,,Carlos2009,Item,http://127.0.0.1/Carlos2009,,,no,,2009,,
"Carlos, Ann",Share Portfolios in the Age of Financial Capitalism,,,University of Colorado,,CarlosA2011,Item,http://127.0.0.1/CarlosA2011,,,no,,2011,,
"Carlos, Ann",The Price of a Vote: Modern Portfolio Theory and Diversification in Early 18th Century English Stock Markets,,,University of Colorado,,CarlosA2012,Item,,,,no,,2012,,
"Carlos, Ann",Exchange among Native Americans and Europeans before 1800: Strategies and Interactions,,,University of Colorado,,CarlosB2012,Item,,,,no,,2012,,
"Carlos, Ann",Living on the Brink of Starvation: Native American Responses,,,University of Colorado,,CarlosA2014,Item,,,,,,2014,,
Carolyn Clark,The Suspension of the Gold Standard 1928-31,,,Washington State University,,Carolyn1979,Item,http://127.0.0.1/Carolyn1979,,,no,,1979,,
"Carreras-Marin, Anna","The Missing Intra-regional Trade of the Southern Cone, 1913-1951",,,University of Barcelona,,CarrerasMarinA2015,Item,,,,,,2014,,
"Carruthers, Bruce",The Passage of the Uniform Small Loan Law,,,Northwestern University,,Carruthers2005,Item,http://127.0.0.1/Carruthers2005,,,no,,2005,,
"Cater, Bruce",Farm Mechanization on an Otherwise ‘Featureless Plain’: Tractor Adoption on the Northern Great Plains and Immigration Policy of the 1920s,,,Trent University,,Cater2008,Item,http://127.0.0.1/Bordo2000,,,no,,2008,,
"Cater, Bruce","Interprovincial Migration in Canada: 1901-1951, and Beyond",,,Trent University,,CaterB2011,Item,http://127.0.0.1/CaterB2011,,,no,,2011,,
"Cater, Bruce","Canadian Emigration to the US, 1900-1930: Characterizing Movers and Stayers, and the Differential Impact of Immigration Policy on the Mobility of French and English Canadians",,,Trent University,,CaterA2012,Item,,,,no,,2012,,
"Chambers, Edward J.",The Staple Theory of Economic Growth: An Empirical Measurement.,,,,,Chambers1965,Item,http://127.0.0.1/Chambers1965,,,no,,1965,,
"Chambers, Edward J.",Further Reflections on the Staples Thesis,,,University of Guelph,,Chambers1978,Item,http://127.0.0.1/Bertram1973,,,no,,1978,,
"Chambers, Edward J.",New Evidence on the Living Standards of Toronto Blue Collar Workers in the pre-1914 Era,,,University of Alberta,,Chambers1985,Item,http://127.0.0.1/Chambers1985,,,no,,1985,,
"Champ, B.",Currency Elasticity and Banking Panics: Theory and Evidence.,,,University of Western Ontario,,Champ1992,Item,http://127.0.0.1/Champ1992,,,no,,1992,,
"Cherniwchan, Jevan",The Magnitude and Cost of Canadian Protectionism: 1870-1910,,,University of Calgary,,CherniwchanA2011,Item,http://127.0.0.1/CherniwchanA2011,,,no,,2011,,
"Chernoff, Alex",1871 Productivity Differentials and the Decline of the Maritime Manufacturing Sector,,,Queen's University,,ChernoffA2012,Item,,,,no,,2012,,
"Chernoff, Alex",Firm Heterogeneity and Factor Productivity: Evidence from Early Industrialisation,,,Queen's University,,ChernoffA2014,Item,,,,,,2014,,
"Chevret, J.M.",The Volatility of Wheat Prices in 19th Century France.,,,"INRA, Paris",,Chevret1992,Item,http://127.0.0.1/Chevret1992,,,no,,1992,,
"Chisholm, Derek",Canadian Monetary Policy and the Gold Standard 1918-39,,,University of Western Ontario,,Chisholm1979,Item,http://127.0.0.1/Chisholm1979,,,no,,1979,,
"Chiswick, Barry",Immigrant Earnings in Canada,,,University of Illinois at Chicago,,Chiswick1987,Item,http://127.0.0.1/Chiswick1987,,,no,,1987,,
"Chudy, Tereasa","A Test for Discrimination in Canadian Immigration Policy, 1952-1978",,,Simon Fraser University,,Chudy1984,Item,http://127.0.0.1/Chudy1984,,,no,,1984,,
"Clark, Carolyn","The Money and Supply Process in Canada, 1920-1934:  Advance Under the Finance Act",,,University of Washington State,,Clark1973,Item,http://127.0.0.1/Clark1973,,,no,,1973,,
"Clark, Carolyn","Reconcilation of Statistics on Production, Consumption, Monetary Holdings and International Flows of Gold, 1920-1934",,,Washington State University,,Clark1976,Item,http://127.0.0.1/Clark1976,,,no,,1976,,
"Clark, Greg",What made Britannia great? How much of the rise of Britain to world dominance by 1850 does the Industrial Revolution explain?,,,,,Clark2006,Item,http://127.0.0.1/Clark2006,,,no,,2006,,
"Clark, Gregory",Wealth and Fertility in New France,,,UC Davis,,ClarkA2011,Item,http://127.0.0.1/ClarkA2011,,,no,,2011,,
"Claus, Edda",Born Again: The Carolingian Renaissance as the Rebirth of an Information System.,,,Université de Montréal,,Claus1997,Item,http://127.0.0.1/Claus1997,,,no,,1997,,
"Clay, Karen",Property Rights and the California Land Act of 1851.,,,University of Toronto,,Clay1995,Item,http://127.0.0.1/Clay1995,,,no,,1995,,
"Clay, Karen",The American Tobacco Company and Its Distributors c.1900.,,,University of Toronto,,Clay1997,Item,http://127.0.0.1/Clay1997,,,no,,1997,,
"Clingingsmith, David","Bilingualism, Language Shift and Industrialization in Mid-20th Century India",,,Case Western University,,Clingingsmith2008,Item,http://127.0.0.1/Bordo2000,,,no,,2008,,
Clyde Reed,Evidence from the Skilled-Unskilled Wage Index: 1930-1972,,,Simon Fraser University,,Reed1978,Item,http://127.0.0.1/Bertram1973,,,no,,1978,,
"Coe, Patrick",The Role of Expectations in Ending the Great Depression.,,,University of British Columbia,,Coe1994,Item,http://127.0.0.1/Coe1994,,,no,,1994,,
"Coe, Patrick",Another look at What the Long-run Data Show About Convergence.,,,,,Coe2000,Item,http://127.0.0.1/Coe2000,,,no,,2000,,
"Coe, Patrick",The Extent of the Canadian Labour Market: Then and Now.,,,University of Calgary,,Coe2002,Item,http://127.0.0.1/Coe2002,,,no,,2002,,
"Coe, Patrick",Nominal Wage Rigidity in Canada: 1900 - 1950.,,,,,Coe2006,Item,http://127.0.0.1/Coe2006,,,no,,2006,,
"Coe, Patrick","Downward Nominal Wage Rigidity: Evidence from Canada, 1900-1950.",,,Carleton University,,Coe2009,Item,http://127.0.0.1/Coe2009,,,no,,2009,,
"Coe, Patrick",The Argumentation of Economic Historians,,,Carleton University,,CoeA2011,Item,http://127.0.0.1/CoeA2011,,,no,,2011,,
"Coe, Patrick",Another Look at Inflation and Expectations during the US Great Depression,,,Carleton University,,CoeA2014,Item,,,,,,2014,,
"Collins, E.J.T.","The North American Influence on the British Food Industry, 1900-39",,,University of Reading,,Collins2003,Item,http://127.0.0.1/Collins2003,,,no,,2003,,
"Coulson, Rosalyn","Human Capital Content of Canadian Immigration, 1963-87.",,,Simon Fraser University,,Coulson1989,Item,http://127.0.0.1/Coulson1989,,,no,,1989,,
"Craig, Beatrice",French and English Agriculture in the Montreal Hinterland 1800-1850.,,,University of Ottawa,,Craig1997,Item,http://127.0.0.1/Craig1997,,,no,,1997,,
"Cranfield, John",Anthropometric Indicators for Canada during the Nineteenth and Twentieth,,,University of Guelph,,Cranfield2005,Item,http://127.0.0.1/Cranfield2005,,,no,,2005,,
"Cranfield, John",Long-Run Changes in the Body Mass Index of Canadians,,,University of Guelph,,Cranfield2009,Item,http://127.0.0.1/Cranfield2009,,,no,,2009,,
"Cranfield, John","Stayers and Leavers, Diggers and Canucks: The 1914-1918 War in Comparative Perspective",,,University of Guelph,,CranfieldA2011,Item,http://127.0.0.1/CranfieldA2011,,,no,,2011,,
"Cranfield, John",Longitudinal Analysis of Adult Stature Inequality in a Settler Society: The Case of Canada,,,University of Guelph,,CranfieldA2012,Item,,,,no,,2012,,
"Curtis, Douglas",Out-Migration from New Brunswick,,,Trent University,,Curtis1973,Item,http://127.0.0.1/Curtis1973,,,no,,1973,,
"Curtis, Douglas","The Effects of Government Budget Changes on Economic Expansion and Stability, 1926-1940",,,Trent University,,Curtis1975,Item,http://127.0.0.1/Curtis1975,,,no,,1975,,
"Dales, John",Modelling Canadian Economic Growth in the Wheat Boom Era,,,University of Toronto,,Dales1982,Item,http://127.0.0.1/Dales1982,,,no,,1982,,
"Davenport, Paul",The Sources of Economic Growth in Twentieth Century Canada,,,McGill University,,Davenport1975,Item,http://127.0.0.1/Davenport1975,,,no,,1975,,
"Davenport, Paul",Money and Prices in Canada Since 1911,,,McGill University,,Davenport1976,Item,http://127.0.0.1/Davenport1976,,,no,,1976,,
"Davies, Ryan","Pink Pills for Pale People: A Snapshot of Entrepreneurship, Patent Medicine and Finance in 1905",,,Babson College,,DaviesA2011,Item,http://127.0.0.1/DaviesA2011,,,no,,2011,,
"Davis, Lance","Domestic Savings, International Capital Flows and the Evolution of Domestic Capital Markets: The Canadian Experience.",,,C.I.T.,,Davis1994,Item,http://127.0.0.1/Davis1994,,,no,,1994,,
"Day, Shawn",Economic History in Canadian Universities: A Survey,,,University of Guelph,,Day2003,Item,http://127.0.0.1/Day2003,,,no,,2003,,
"Day, Tanis",An Economic Investigation into the Industrial Revolution in the Home,,,Queen's University,,Day1985,Item,http://127.0.0.1/Day1985,,,no,,1985,,
"Day, Tanis","Measuring the Standard of Living within the Home, 1920-1970",,,Queen's University,,Day1987,Item,http://127.0.0.1/Day1987,,,no,,1987,,
"Day, Tanis",Historical Causes of Occupational Segregation.,,,Queen's University,,Day1989,Item,http://127.0.0.1/Day1989,,,no,,1989,,
