label,type,uri,author,yearDelivered,isJointPaper,cleanTitle,affiliation,coauthor,JSONRecord,cleanerTitle,primaryTitleFlag,authors,Co_Author2,Co_Author3,FlagThirdAuthor,relationType,relationWeight,surname
Altman1990,Item,http://127.0.0.1/Altman1990,"Altman, Morris",1990,No,"Estimates for Hours Worked in Canada, 1900-1930, and the Real Wage-Income Debate",University of Saskatchewan,,"{""Author"" : ""Altman, Morris"", ""Year"" : ""1990"",""label"" : ""Altman1990"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1990"", ""cleanTitle"" : ""Estimates for Hours Worked in Canada, 1900-1930, and the Real Wage-Income Debate"", ""Institution"" : ""University of Saskatchewan""},","Estimates for Hours Worked in Canada, 1900-1930, and the Real Wage-Income Debate",1,,,,No,,,Altman
Altman1994,Item,http://127.0.0.1/Altman1994,"Altman, Morris",1994,No,"Land Tenure, Ethnicity and the State of Agricultural Income and Productivity in Mid-Nineteenth Century Quebec",University of Saskatchewan,,"{""Author"" : ""Altman, Morris"", ""Year"" : ""1994"",""label"" : ""Altman1994"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1994"", ""cleanTitle"" : ""Land Tenure, Ethnicity and the State of Agricultural Income and Productivity in Mid-Nineteenth Century Quebec"", ""Institution"" : ""University of Saskatchewan""},","Land Tenure, Ethnicity and the State of Agricultural Income and Productivity in Mid-Nineteenth Century Quebec",1,,,,No,,,Altman
Altman1997,Item,http://127.0.0.1/Altman1997,"Altman, Morris",1997,No,New Estimates of Hours of Work and Real Income in Canada from the 1880s to 1930: Workers Income - Leisure Choice in a Dynamic Economy,University of Saskatchewan,,"{""Author"" : ""Altman, Morris"", ""Year"" : ""1997"",""label"" : ""Altman1997"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1997"", ""cleanTitle"" : ""New Estimates of Hours of Work and Real Income in Canada from the 1880s to 1930: Workers Income - Leisure Choice in a Dynamic Economy"", ""Institution"" : ""University of Saskatchewan""},",New Estimates of Hours of Work and Real Income in Canada from the 1880s to 1930: Workers Income - Leisure Choice in a Dynamic Economy,1,,,,No,,,Altman
Altman1999,Item,http://127.0.0.1/Altman1999,"Altman, Morris",1999,No,Staple Theory and Export-Led Growth: Constructing Differential Growth,University of Saskatchewan,,"{""Author"" : ""Altman, Morris"", ""Year"" : ""1999"",""label"" : ""Altman1999"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Altman1999"", ""cleanTitle"" : ""Staple Theory and Export-Led Growth: Constructing Differential Growth"", ""Institution"" : ""University of Saskatchewan""},",Staple Theory and Export-Led Growth: Constructing Differential Growth,1,,,,No,,,Altman
Anderson1972,Item,http://127.0.0.1/Anderson1972,"Anderson, Isabel",1972,No,The Buckley Research Files,University of Saskatchewan,,"{""Author"" : ""Anderson, Isabel"", ""Year"" : ""1972"",""label"" : ""Anderson1972"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Anderson1972"", ""cleanTitle"" : ""The Buckley Research Files"", ""Institution"" : ""University of Saskatchewan""},",The Buckley Research Files,1,,,,No,,,Anderson
Anderson1973,Item,http://127.0.0.1/Anderson1973,"Anderson, Isabel",1973,No,Manufacturing and Urbanization After 1890,University of Saskatchewan,,"{""Author"" : ""Anderson, Isabel"", ""Year"" : ""1973"",""label"" : ""Anderson1973"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Anderson1973"", ""cleanTitle"" : ""Manufacturing and Urbanization After 1890"", ""Institution"" : ""University of Saskatchewan""},",Manufacturing and Urbanization After 1890,1,,,,No,,,Anderson
Anderson1976,Item,http://127.0.0.1/Anderson1976,"Anderson, Isabel",1976,No,Growth of Manufacturing in Urban Areas,University of Saskatchewan,,"{""Author"" : ""Anderson, Isabel"", ""Year"" : ""1976"",""label"" : ""Anderson1976"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Anderson1976"", ""cleanTitle"" : ""Growth of Manufacturing in Urban Areas"", ""Institution"" : ""University of Saskatchewan""},",Growth of Manufacturing in Urban Areas,1,,,,No,,,Anderson
Anderson1985,Item,http://127.0.0.1/Anderson1985,"Anderson, Isabel",1985,No,The Development of Manufacturing in Urban Areas in Central and Western Canada During Depression and War,University of Saskatchewan,,"{""Author"" : ""Anderson, Isabel"", ""Year"" : ""1985"",""label"" : ""Anderson1985"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Anderson1985"", ""cleanTitle"" : ""The Development of Manufacturing in Urban Areas in Central and Western Canada During Depression and War"", ""Institution"" : ""University of Saskatchewan""},",The Development of Manufacturing in Urban Areas in Central and Western Canada During Depression and War,1,,,,No,,,Anderson
Anderson1987,Item,http://127.0.0.1/Anderson1987,"Anderson, Isabel",1987,No,"Measuring Structural Change With Incomplete Historical Data, The Case of Canadian Manufacturing",University of Saskatchewan,,"{""Author"" : ""Anderson, Isabel"", ""Year"" : ""1987"",""label"" : ""Anderson1987"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Anderson1987"", ""cleanTitle"" : ""Measuring Structural Change With Incomplete Historical Data, The Case of Canadian Manufacturing"", ""Institution"" : ""University of Saskatchewan""},","Measuring Structural Change With Incomplete Historical Data, The Case of Canadian Manufacturing",1,,,,No,,,Anderson
Ankli1970,Item,http://127.0.0.1/Ankli1970,"Ankli, Robert",1970,No,Canadian - American Reciprocity,University of Guelph,,"{""Author"" : ""Ankli, Robert"", ""Year"" : ""1970"",""label"" : ""Ankli1970"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Ankli1970"", ""cleanTitle"" : ""Canadian - American Reciprocity"", ""Institution"" : ""University of Guelph""},",Canadian - American Reciprocity,1,,,,No,,,Ankli
Ankli1972,Item,http://127.0.0.1/Ankli1972,"Ankli, Robert",1972,No,The Canadian Depression in a Long-Swing Framework,University of Guelph,,"{""Author"" : ""Ankli, Robert"", ""Year"" : ""1972"",""label"" : ""Ankli1972"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Ankli1972"", ""cleanTitle"" : ""The Canadian Depression in a Long-Swing Framework"", ""Institution"" : ""University of Guelph""},",The Canadian Depression in a Long-Swing Framework,1,,,,No,,,Ankli
Ankli1973,Item,http://127.0.0.1/Ankli1973,"Ankli, Robert",1973,No,"The Buckley GNP Estimates, 1900-1925",University of Guelph,,"{""Author"" : ""Ankli, Robert"", ""Year"" : ""1973"",""label"" : ""Ankli1973"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Ankli1973"", ""cleanTitle"" : ""The Buckley GNP Estimates, 1900-1925"", ""Institution"" : ""University of Guelph""},","The Buckley GNP Estimates, 1900-1925",1,,,,No,,,Ankli
Ankli1975,Item,http://127.0.0.1/Ankli1975,"Ankli, Robert",1975,No,The Growth of the Canadian Economy 1900-1920:  Neo-Classical vs Export-Led Growth?,University of Guelph,,"{""Author"" : ""Ankli, Robert"", ""Year"" : ""1975"",""label"" : ""Ankli1975"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Ankli1975"", ""cleanTitle"" : ""The Growth of the Canadian Economy 1900-1920:  Neo-Classical vs Export-Led Growth?"", ""Institution"" : ""University of Guelph""},",The Growth of the Canadian Economy 1900-1920:  Neo-Classical vs Export-Led Growth?,1,,,,No,,,Ankli
Ankli1978,Item,http://127.0.0.1/Bertram1973,"Ankli, Robert",1978,No,The Adoption of the Gasoline Tractor in Western Canada,University of Guelph,,"{""Author"" : ""Ankli, Robert"", ""Year"" : ""1978"",""label"" : ""Ankli1978"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Bertram1973"", ""cleanTitle"" : ""The Adoption of the Gasoline Tractor in Western Canada"", ""Institution"" : ""University of Guelph""},",The Adoption of the Gasoline Tractor in Western Canada,1,,,,No,,,Ankli
Ankli1981,Item,http://127.0.0.1/Ankli1981,"Ankli, Robert",1981,Yes,Farm Costs in Early Ontario,University of Guelph,"Duncan, K.","{""Author"" : ""Ankli, Robert"", ""Year"" : ""1981"",""label"" : ""Ankli1981"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Ankli1981"", ""cleanTitle"" : ""Farm Costs in Early Ontario"", ""Institution"" : ""University of Guelph""},",Farm Costs in Early Ontario,1,,"Duncan, K.",,No,Undirected,1,Ankli
Ankli1982,Item,http://127.0.0.1/Ankli1982,"Ankli, Robert",1982,Yes,Banking in the Early Twentieth Century: The Home Bank's Balance Sheet in 1913,University of Guelph,"Millar, Wendy","{""Author"" : ""Ankli, Robert"", ""Year"" : ""1982"",""label"" : ""Ankli1982"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Ankli1982"", ""cleanTitle"" : ""Banking in the Early Twentieth Century: The Home Bank's Balance Sheet in 1913"", ""Institution"" : ""University of Guelph""},",Banking in the Early Twentieth Century: The Home Bank's Balance Sheet in 1913,1,,"Millar, Wendy",,No,Undirected,1,Ankli
AntonieA2014,Item,,"Antonie, Luiza",2014,Yes,"New Historical Samples and Linked Census Data for Canada, 1851-1911",University of Guelph,"Inwood, Kris;Ross, J. Andrew","{""Author"" : ""Antonie, Luiza"", ""Year"" : ""2014"",""label"" : ""AntonieA2014"", ""type"" : ""Item"", ""uri"" : """", ""cleanTitle"" : ""New Historical Samples and Linked Census Data for Canada, 1851-1911"", ""Institution"" : ""University of Guelph""},","New Historical Samples and Linked Census Data for Canada, 1851-1911",1,,"Ross, J. Andrew","Inwood, Kris",Yes,,,Antonie
Arcand1990,Item,http://127.0.0.1/Arcand1990,"Arcand, Jean-Louis",1990,Yes,Disequilibrium Dynamics and the Great Depression in Canada,MIT,"Brezis, Elise","{""Author"" : ""Arcand, Jean-Louis"", ""Year"" : ""1990"",""label"" : ""Arcand1990"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Arcand1990"", ""cleanTitle"" : ""Disequilibrium Dynamics and the Great Depression in Canada"", ""Institution"" : ""MIT""},",Disequilibrium Dynamics and the Great Depression in Canada,1,,"Brezis, Elise",,No,Undirected,1,Arcand
ArmstrongA2011,Item,http://127.0.0.1/ArmstrongA2011,"Armstrong, Alexander",2011,Yes,The Characteristics of European Immigrants to Canada in the 1920s: A Cross-Country Comparison,Queen's University,"Lewis, Frank","{""Author"" : ""Armstrong, Alexander"", ""Year"" : ""2011"",""label"" : ""ArmstrongA2011"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/ArmstrongA2011"", ""cleanTitle"" : ""The Characteristics of European Immigrants to Canada in the 1920s: A Cross-Country Comparison"", ""Institution"" : ""Queen's University""},",The Characteristics of European Immigrants to Canada in the 1920s: A Cross-Country Comparison,1,,"Lewis, Frank",,No,Undirected,1,Armstrong
At1992,Item,http://127.0.0.1/At1992,"St-Amour, P.",1992,Yes,The Volatility of Wheat Prices in 19th Century France,Queen's University,"Chevret, J.M.","{""Author"" : ""St-Amour, P."", ""Year"" : ""1992"",""label"" : ""At1992"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/At1992"", ""cleanTitle"" : ""The Volatility of Wheat Prices in 19th Century France"", ""Institution"" : ""Queen's University""},",The Volatility of Wheat Prices in 19th Century France,,,"Chevret, J.M.",,No,,,St
Austin2003,Item,http://127.0.0.1/Austin2003,"Austin, Gareth",2003,No,"The Future of African Economic History, and Africa in the Future of Economic History as a Discipline",London School of Economics,,"{""Author"" : ""Austin, Gareth"", ""Year"" : ""2003"",""label"" : ""Austin2003"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Austin2003"", ""cleanTitle"" : ""The Future of African Economic History, and Africa in the Future of Economic History as a Discipline"", ""Institution"" : ""London School of Economics""},","The Future of African Economic History, and Africa in the Future of Economic History as a Discipline",1,,,,No,,,Austin
BadiaMiroA2014,Item,,"Badia-Miro, Marc",2014,Yes,"Geography, Policy, or Productivity? Regional Trade in five South American countries, 1910-1950",University of Barcelona,"Carreras-Marin, Anna;Miesener, Chris","{""Author"" : ""Badia-Miro, Marc"", ""Year"" : ""2014"",""label"" : ""BadiaMiroA2014"", ""type"" : ""Item"", ""uri"" : """", ""cleanTitle"" : ""Geography, Policy, or Productivity? Regional Trade in five South American countries, 1910-1950"", ""Institution"" : ""University of Barcelona""},","Geography, Policy, or Productivity? Regional Trade in five South American countries, 1910-1950",1,,"Miesener, Chris","Carreras-Marin, Anna",Yes,,,Badia
BakerA2014,Item,,"Baker, Richard",2014,No,Finding the Fat: The Relative Impact of Budget Fluctuation in African-American Schools,Boston University,,"{""Author"" : ""Baker, Richard"", ""Year"" : ""2014"",""label"" : ""BakerA2014"", ""type"" : ""Item"", ""uri"" : """", ""cleanTitle"" : ""Finding the Fat: The Relative Impact of Budget Fluctuation in African-American Schools"", ""Institution"" : ""Boston University""},",Finding the Fat: The Relative Impact of Budget Fluctuation in African-American Schools,1,,,,No,,,Baker
Baldwin1984,Item,http://127.0.0.1/Baldwin1984,"Baldwin, J.",1984,Yes,Evolution of Canadian Manufacturing: Industry Productivity in Canada and the U.S..,Queen's University,"Green, Alan","{""Author"" : ""Baldwin, J."", ""Year"" : ""1984"",""label"" : ""Baldwin1984"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Baldwin1984"", ""cleanTitle"" : ""Evolution of Canadian Manufacturing: Industry Productivity in Canada and the U.S."", ""Institution"" : ""Queen's University""},",Evolution of Canadian Manufacturing: Industry Productivity in Canada and the U.S.,1,,"Green, Alan",,No,Undirected,1,Baldwin
Baldwin1987,Item,http://127.0.0.1/Baldwin1987,"Baldwin, J.",1987,No,Industrial Growth in Canada,Queen's University,,"{""Author"" : ""Baldwin, J."", ""Year"" : ""1987"",""label"" : ""Baldwin1987"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Baldwin1987"", ""cleanTitle"" : ""Industrial Growth in Canada"", ""Institution"" : ""Queen's University""},",Industrial Growth in Canada,1,,,,No,,,Baldwin
Bamber1997,Item,http://127.0.0.1/Bamber1997,"Bamber, Sue",1997,No,"Property Ownership by Married Women in Guelph, 1871-91 (Research Report)",University of Guelph,,"{""Author"" : ""Bamber, Sue"", ""Year"" : ""1997"",""label"" : ""Bamber1997"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Bamber1997"", ""cleanTitle"" : ""Property Ownership by Married Women in Guelph, 1871-91 (Research Report)"", ""Institution"" : ""University of Guelph""},","Property Ownership by Married Women in Guelph, 1871-91 (Research Report)",1,,,,No,,,Bamber
Barnett1967,Item,http://127.0.0.1/Barnett1967,"Barnett, R. F. J.",1967,No,"Canada's Manufacturing Development and Foreign Trade, 1870 - 1915",Queen's University,,"{""Author"" : ""Barnett, R. F. J."", ""Year"" : ""1967"",""label"" : ""Barnett1967"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Barnett1967"", ""cleanTitle"" : ""Canada's Manufacturing Development and Foreign Trade, 1870 - 1915"", ""Institution"" : ""Queen's University""},","Canada's Manufacturing Development and Foreign Trade, 1870 - 1915",1,,,,No,,,Barnett
Baskerville1992,Item,http://127.0.0.1/Baskerville1992,"Baskerville, Peter",1992,Yes,Unemployment in Late 19th Century Canada,University of Victoria,"Sager, Eric","{""Author"" : ""Baskerville, Peter"", ""Year"" : ""1992"",""label"" : ""Baskerville1992"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Baskerville1992"", ""cleanTitle"" : ""Unemployment in Late 19th Century Canada"", ""Institution"" : ""University of Victoria""},",Unemployment in Late 19th Century Canada,1,,"Sager, Eric",,No,Undirected,1,Baskerville
Baskerville1997,Item,http://127.0.0.1/Baskerville1997,"Baskerville, Peter",1997,No,Gendered Investors: Land and Mortgage Companies in Urban Canada 1881-1901,University of Victoria,,"{""Author"" : ""Baskerville, Peter"", ""Year"" : ""1997"",""label"" : ""Baskerville1997"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Baskerville1997"", ""cleanTitle"" : ""Gendered Investors: Land and Mortgage Companies in Urban Canada 1881-1901"", ""Institution"" : ""University of Victoria""},",Gendered Investors: Land and Mortgage Companies in Urban Canada 1881-1901,1,,,,No,,,Baskerville
Beal1997,Item,http://127.0.0.1/Beal1997,"Beal, Carl",1997,No,Canadian Reserve Economic Development in Saskatchewan: 1900-1930s,"Saskatchewan Indian Federated College, University of Regina",,"{""Author"" : ""Beal, Carl"", ""Year"" : ""1997"",""label"" : ""Beal1997"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Beal1997"", ""cleanTitle"" : ""Canadian Reserve Economic Development in Saskatchewan: 1900-1930s"", ""Institution"" : ""Saskatchewan Indian Federated College, University of Regina""},",Canadian Reserve Economic Development in Saskatchewan: 1900-1930s,1,,,,No,,,Beal
Bean2011,Item,http://127.0.0.1/Bean2011,"Bean, Jessica",2011,No,"Not Much Use Disliking It: Labor Supply among Female Home Workers in London, 1897-1908",Denison College,,"{""Author"" : ""Bean, Jessica"", ""Year"" : ""2011"",""label"" : ""Bean2011"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Bean2011"", ""cleanTitle"" : ""Not Much Use Disliking It: Labor Supply among Female Home Workers in London, 1897-1908"", ""Institution"" : ""Denison College""},","Not Much Use Disliking It: Labor Supply among Female Home Workers in London, 1897-1908",1,,,,No,,,Bean
Beasdale1997,Item,http://127.0.0.1/Beasdale1997,"Beasdale, Ruth",1997,Yes,Starting a Local Railway: A Cost-Benefit Analysis,Dalhousie University,"Campbell, Gail","{""Author"" : ""Beasdale, Ruth"", ""Year"" : ""1997"",""label"" : ""Beasdale1997"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Beasdale1997"", ""cleanTitle"" : ""Starting a Local Railway: A Cost-Benefit Analysis"", ""Institution"" : ""Dalhousie University""},",Starting a Local Railway: A Cost-Benefit Analysis,1,,"Campbell, Gail",,No,Undirected,1,Beasdale
Beaulieu1999,Item,http://127.0.0.1/Beaulieu1999,"Beaulieu, Eugene",1999,Yes,The Role of Reciprocity in the 1911 General Election,University of Calgary,"Emery, J. Herb","{""Author"" : ""Beaulieu, Eugene"", ""Year"" : ""1999"",""label"" : ""Beaulieu1999"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Beaulieu1999"", ""cleanTitle"" : ""The Role of Reciprocity in the 1911 General Election"", ""Institution"" : ""University of Calgary""},",The Role of Reciprocity in the 1911 General Election,1,,"Emery, J. Herb",,No,Undirected,1,Beaulieu
Beaulieu2003,Item,http://127.0.0.1/Beaulieu2003,"Beaulieu, Eugene",2003,No,The Political Economy of Canadian Trade Policy from 1881 to 1930,University of Calgary,,"{""Author"" : ""Beaulieu, Eugene"", ""Year"" : ""2003"",""label"" : ""Beaulieu2003"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Beaulieu2003"", ""cleanTitle"" : ""The Political Economy of Canadian Trade Policy from 1881 to 1930"", ""Institution"" : ""University of Calgary""},",The Political Economy of Canadian Trade Policy from 1881 to 1930,1,,,,No,,,Beaulieu
BeaulieuA2011,Item,http://127.0.0.1/BeaulieuA2011,"Beaulieu, Eugene",2011,Yes,The Magnitude and Cost of Canadian Protectionism: 1870-1910,University of Calgary,"Cherniwchan, Jevan","{""Author"" : ""Beaulieu, Eugene"", ""Year"" : ""2011"",""label"" : ""BeaulieuA2011"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/BeaulieuA2011"", ""cleanTitle"" : ""The Magnitude and Cost of Canadian Protectionism: 1870-1910"", ""Institution"" : ""University of Calgary""},",The Magnitude and Cost of Canadian Protectionism: 1870-1910,1,,"Cherniwchan, Jevan",,No,Undirected,1,Beaulieu
Bekar2008,Item,http://127.0.0.1/Bordo2000,"Bekar, Cliff",2008,Yes,Distributional Dynamics in a Stochastic Environment with Tradable Assets: Medieval English Land Markets,Lewis and Clark University,"Reed, Clyde","{""Author"" : ""Bekar, Cliff"", ""Year"" : ""2008"",""label"" : ""Bekar2008"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Bordo2000"", ""cleanTitle"" : ""Distributional Dynamics in a Stochastic Environment with Tradable Assets: Medieval English Land Markets"", ""Institution"" : ""Lewis and Clark University""},",Distributional Dynamics in a Stochastic Environment with Tradable Assets: Medieval English Land Markets,1,,"Reed, Clyde",,No,Undirected,1,Bekar
BeltranA2012,Item,,"Beltrán, Francisco",2012,No,"Commons and the Standard of Living Debate in Spain, 1860-1930",Oxford University,,"{""Author"" : ""Beltrán, Francisco"", ""Year"" : ""2012"",""label"" : ""BeltranA2012"", ""type"" : ""Item"", ""uri"" : """", ""cleanTitle"" : ""Commons and the Standard of Living Debate in Spain, 1860-1930"", ""Institution"" : ""Oxford University""},","Commons and the Standard of Living Debate in Spain, 1860-1930",1,,,,No,,,Beltrán
Berkes1992,Item,http://127.0.0.1/Berkes1992,"Berkes, F.",1992,Yes,Indigenous Land Use and Harvesting Among the Cree in Western James Bay: A Historical and Contemporary Analysis.,Council of Ontario Universities,"George, Peter;Preston, R.J.","{""Author"" : ""Berkes, F."", ""Year"" : ""1992"",""label"" : ""Berkes1992"", ""type"" : ""Item"", ""uri"" : ""http://127.0.0.1/Berkes1992"", ""cleanTitle"" : ""Indigenous Land Use and Harvesting Among the Cree in Western James Bay: A Historical and Contemporary Analysis"", ""Institution"" : ""Council of Ontario Universities""},",Indigenous Land Use and Harvesting Among the Cree in Western James Bay: A Historical and Contemporary Analysis,1,,"Preston, R.J.","George, Peter",Yes,,,Berkes
